trial,target_g,time_s,raw,voltage
12,100,0.052,320,0.0161
12,100,0.103,160,0.0081
12,100,0.155,320,0.0161
12,100,0.206,320,0.0161
12,100,0.257,816,0.0411
12,100,0.308,336,0.0169
12,100,0.360,848,0.0427
12,100,0.411,320,0.0161
12,100,0.462,576,0.0290
12,100,0.513,448,0.0226
12,100,0.565,400,0.0201
12,100,0.616,304,0.0153
12,100,0.667,336,0.0169
12,100,0.718,800,0.0403
12,100,0.770,320,0.0161
12,100,0.821,432,0.0218
12,100,0.872,336,0.0169
12,100,0.923,304,0.0153
12,100,0.975,320,0.0161
12,100,1.026,336,0.0169
12,100,1.077,816,0.0411
12,100,1.128,320,0.0161
12,100,1.179,800,0.0403
12,100,1.230,352,0.0177
12,100,1.281,336,0.0169
12,100,1.333,368,0.0185
12,100,1.384,384,0.0193
12,100,1.435,800,0.0403
12,100,1.486,336,0.0169
12,100,1.538,736,0.0371
12,100,1.589,336,0.0169
12,100,1.640,384,0.0193
12,100,1.691,336,0.0169
12,100,1.743,320,0.0161
12,100,1.794,912,0.0459
12,100,1.845,320,0.0161
12,100,1.896,864,0.0435
12,100,1.947,336,0.0169
12,100,1.998,320,0.0161
12,100,2.049,320,0.0161
12,100,2.101,384,0.0193
12,100,2.152,320,0.0161
12,100,2.203,288,0.0145
12,100,2.255,864,0.0435
12,100,2.306,336,0.0169
12,100,2.357,320,0.0161
12,100,2.408,320,0.0161
12,100,2.460,320,0.0161
12,100,2.511,336,0.0169
12,100,2.562,352,0.0177
12,100,2.613,768,0.0387
12,100,2.664,320,0.0161
12,100,2.715,576,0.0290
12,100,2.766,320,0.0161
12,100,2.817,336,0.0169
12,100,2.869,192,0.0097
12,100,2.920,320,0.0161
12,100,2.971,896,0.0451
13,150,0.000,512,0.0258
13,150,0.051,336,0.0169
13,150,0.103,352,0.0177
13,150,0.154,304,0.0153
13,150,0.205,896,0.0451
13,150,0.257,304,0.0153
13,150,0.308,704,0.0354
13,150,0.359,320,0.0161
13,150,0.410,320,0.0161
13,150,0.462,336,0.0169
13,150,0.513,256,0.0129
13,150,0.564,960,0.0483
13,150,0.615,480,0.0242
13,150,0.667,800,0.0403
13,150,0.718,320,0.0161
13,150,0.769,304,0.0153
13,150,0.820,208,0.0105
13,150,0.871,320,0.0161
13,150,0.922,352,0.0177
13,150,0.973,304,0.0153
13,150,1.025,896,0.0451
13,150,1.076,192,0.0097
13,150,1.127,544,0.0274
13,150,1.178,208,0.0105
13,150,1.229,320,0.0161
13,150,1.280,320,0.0161
13,150,1.331,336,0.0169
13,150,1.383,720,0.0363
13,150,1.434,320,0.0161
13,150,1.485,816,0.0411
13,150,1.536,320,0.0161
13,150,1.588,464,0.0234
13,150,1.639,336,0.0169
13,150,1.690,320,0.0161
13,150,1.741,352,0.0177
13,150,1.793,320,0.0161
13,150,1.844,736,0.0371
13,150,1.895,224,0.0113
13,150,1.946,416,0.0209
13,150,1.997,512,0.0258
13,150,2.048,320,0.0161
13,150,2.099,304,0.0153
13,150,2.151,272,0.0137
13,150,2.202,832,0.0419
13,150,2.253,304,0.0153
13,150,2.305,864,0.0435
13,150,2.356,320,0.0161
13,150,2.407,272,0.0137
13,150,2.458,320,0.0161
13,150,2.509,432,0.0218
13,150,2.560,976,0.0491
13,150,2.611,512,0.0258
13,150,2.662,704,0.0354
13,150,2.714,320,0.0161
13,150,2.765,320,0.0161
13,150,2.816,336,0.0169
13,150,2.867,304,0.0153
13,150,2.918,384,0.0193
13,150,2.969,432,0.0218
14,150,0.001,416,0.0209
14,150,0.052,688,0.0346
14,150,0.104,320,0.0161
14,150,0.155,240,0.0121
14,150,0.206,336,0.0169
14,150,0.257,336,0.0169
14,150,0.308,608,0.0306
14,150,0.359,256,0.0129
14,150,0.410,688,0.0346
14,150,0.462,336,0.0169
14,150,0.513,352,0.0177
14,150,0.564,272,0.0137
14,150,0.615,336,0.0169
14,150,0.667,320,0.0161
14,150,0.718,320,0.0161
14,150,0.769,848,0.0427
14,150,0.820,320,0.0161
14,150,0.871,736,0.0371
14,150,0.922,320,0.0161
14,150,0.973,416,0.0209
14,150,1.025,192,0.0097
14,150,1.076,272,0.0137
14,150,1.127,1312,0.0661
14,150,1.178,2624,0.1321
14,150,1.229,800,0.0403
14,150,1.280,272,0.0137
14,150,1.331,384,0.0193
14,150,1.383,1152,0.0580
14,150,1.434,5537,0.2788
14,150,1.485,5761,0.2901
14,150,1.536,10850,0.5463
14,150,1.588,10882,0.5480
14,150,1.639,10658,0.5367
14,150,1.690,10498,0.5286
14,150,1.741,8210,0.4134
